"filename", "language", "JSON", "JSON with Comments", "HTML", "TypeScript", "SCSS", "JavaScript", "Markdown", "XML", "YAML", "comment", "blank", "total"
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\.github\CODE_OF_CONDUCT.md", "Markdown", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 18, 46
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\.github\COMMIT_CONVENTION.md", "Markdown", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 32, 83
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\.github\CONTRIBUTING.md", "Markdown", 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 53, 179
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\.github\FUNDING.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 5
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 6, 21
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 6, 19
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\.github\SUPPORT.md", "Markdown", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 10
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\.github\workflows\build-check.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 7, 40
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\.github\workflows\stale.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 18, 5, 5, 28
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\CHANGELOG.md", "Markdown", 0, 0, 0, 0, 0, 0, 201, 0, 0, 0, 116, 317
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 168, 0, 0, 2, 94, 264
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\angular.json", "JSON", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 118
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\karma.conf.js", "JavaScript", 0, 0, 0, 0, 0, 43, 0, 0, 0, 6, 2, 51
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\package-lock.json", "JSON", 14862, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14863
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\package.json", "JSON", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 75
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\app.component.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 0, 0, 0, 1, 9, 58
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\app.config.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\app.routes.ts", "TypeScript", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 4, 68
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\icons\icon-subset.ts", "TypeScript", 0, 0, 0, 297, 0, 0, 0, 0, 0, 0, 5, 302
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\icons\logo.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 1, 25
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\icons\signet.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\layout\default-layout\_nav.ts", "TypeScript", 0, 0, 0, 167, 0, 0, 0, 0, 0, 10, 2, 179
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\layout\default-layout\default-footer\default-footer.component.html", "HTML", 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 1, 13
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\layout\default-layout\default-footer\default-footer.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\layout\default-layout\default-footer\default-footer.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\layout\default-layout\default-footer\default-footer.component.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\layout\default-layout\default-header\default-header.component.html", "HTML", 0, 0, 138, 0, 0, 0, 0, 0, 0, 2, 8, 148
